ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
SNDK,PUT,2026-06-26,2150.0,59.19,2913,435,6.696551724137931,17242047.0,0.53320779296875
SNDK,PUT,2026-06-26,2200.0,108.84,1551,770,2.0142857142857142,16881084.0,0.8469253588867187
SNDK,PUT,2026-07-17,2200.0,269.75,535,197,2.715736040609137,14431625.0,1.0112354125976561
SNDK,CALL,2026-07-02,2200.0,72.15,1644,595,2.7630252100840336,11861460.0,1.0072376298522947
SNDK,PUT,2026-06-26,2100.0,15.0,7831,1418,5.522566995768688,11746500.0,0.3616396844482421
SNDK,CALL,2026-07-02,2100.0,113.5,935,159,5.880503144654088,10612250.0,1.0165759620666506
SNDK,PUT,2026-07-02,1700.0,16.0,6586,409,16.102689486552567,10537600.0,1.2128335256958005
SNDK,CALL,2026-07-02,2150.0,90.83,998,265,3.7660377358490567,9064834.0,1.0040943350219727
SNDK,PUT,2026-07-02,2000.0,71.95,1201,431,2.7865429234338746,8641195.0,1.0029346728515625
SNDK,PUT,2026-07-02,2100.0,119.85,635,312,2.03525641025641,7610475.0,0.9820405848693847
MU,CALL,2026-06-26,100.0,1077.0,2500,11,227.27272727272728,269250000.0,1.0000000000000003e-05
MU,PUT,2026-06-26,1150.0,30.05,19894,3837,5.184779775866563,59781470.00000001,0.6383092810058593
MU,PUT,2026-06-26,1180.0,48.0,7687,1989,3.864756158873806,36897600.0,0.9873048144531251
MU,PUT,2026-06-26,1170.0,35.0,8230,1249,6.589271417133707,28805000.0,0.8291032714843749
MU,CALL,2026-07-02,1200.0,27.05,9927,4683,2.119795003203075,26852535.000000004,0.8410355252075196
MU,PUT,2026-06-26,1160.0,27.31,9041,570,15.86140350877193,24690971.0,0.7537866418457031
MU,PUT,2026-06-26,1190.0,56.33,4242,652,6.506134969325154,23895186.0,1.1014449224853518
MU,PUT,2026-06-26,1185.0,51.82,4145,887,4.673055242390079,21479390.0,1.0739792395019534
MU,CALL,2026-07-02,1150.0,44.05,4809,1714,2.8057176196032674,21183645.0,0.8361832788085937
MU,PUT,2026-06-26,1140.0,15.29,13154,1399,9.402430307362401,20112465.999999996,0.6690096575927735
INTC,CALL,2026-06-26,79.0,49.25,6107,64,95.421875,30076975.0,4.714847856445312
INTC,CALL,2026-06-26,80.0,48.25,6123,470,13.027659574468085,29543475.0,6.093752382812499
INTC,CALL,2026-06-26,77.0,50.8,5117,58,88.22413793103448,25994359.999999996,4.937503828124999
INTC,CALL,2026-06-26,78.0,49.65,5135,273,18.80952380952381,25495275.0,4.421879472656249
INTC,CALL,2026-06-26,87.0,41.89,1555,146,10.650684931506849,6513895.0,1.0000000000000003e-05
INTC,CALL,2026-06-26,88.0,40.25,1551,172,9.017441860465116,6242775.0,1.0000000000000003e-05
INTC,CALL,2026-07-24,160.0,4.15,6555,1098,5.969945355191257,2720325.0000000005,0.9235847485351563
INTC,CALL,2026-07-02,134.0,3.43,5595,444,12.60135135135135,1919085.0000000002,0.7675804492187501
INTC,PUT,2026-06-26,130.0,2.12,8869,4045,2.192583436341162,1880228.0000000002,0.5732464550781251
INTC,CALL,2026-07-02,128.0,5.5,2882,723,3.9861687413554634,1585100.0,0.7436549072265625
AMAT,CALL,2026-07-24,760.0,23.5,1513,20,75.65,3555550.0,0.8028584167480468
AMD,CALL,2026-07-02,520.0,20.25,5267,603,8.734660033167495,10665675.0,0.6431310101318359
AMD,CALL,2026-07-02,522.5,18.68,4464,264,16.90909090909091,8338752.0,0.6435582519531251
AMD,CALL,2026-07-02,510.0,26.05,2757,385,7.161038961038961,7181985.000000001,0.6588779229736328
AMD,CALL,2026-07-02,517.5,21.23,3375,296,11.402027027027026,7165125.0,0.6434361828613282
AMD,CALL,2026-07-02,535.0,13.65,5099,724,7.042817679558011,6960135.000000001,0.642703768310547
AMD,CALL,2026-07-02,515.0,24.1,2483,766,3.241514360313316,5984030.0,0.6444737701416017
AMD,PUT,2026-07-02,520.0,17.45,3140,1282,2.4492979719188765,5479300.0,0.6955596850585939
AMD,CALL,2026-07-02,537.5,12.65,3957,105,37.68571428571428,5005605.0,0.6445348046875
AMD,CALL,2026-06-26,520.0,3.4,13235,5049,2.6213111507229154,4499900.0,0.17920742675781248
AMD,CALL,2026-06-26,510.0,13.45,3102,752,4.125,4172189.9999999995,0.4804739453125
LRCX,PUT,2026-07-02,370.0,12.4,1654,124,13.338709677419354,2050960.0000000002,0.7605004418945314
LRCX,CALL,2026-07-02,392.5,11.6,1760,51,34.509803921568626,2041600.0,0.7482935327148439
LRCX,PUT,2026-07-02,360.0,7.6,2525,193,13.082901554404145,1919000.0,0.7685570019531252
LRCX,CALL,2026-07-02,402.5,7.2,1838,63,29.174603174603174,1323360.0,0.7500635345458984
LRCX,CALL,2026-07-02,400.0,7.55,1589,692,2.296242774566474,1199695.0,0.7481104290771485
FTNT,CALL,2026-07-17,160.0,3.23,6409,1753,3.6560182544209927,2070107.0,0.4401911450195312
CAT,PUT,2026-07-17,1000.0,32.17,741,146,5.075342465753424,2383797.0,0.4328975167846679
CAT,CALL,2026-07-24,1100.0,15.0,1258,36,34.94444444444444,1887000.0,0.44339545867919916
CAT,CALL,2026-07-17,1060.0,18.1,689,244,2.8237704918032787,1247090.0000000002,0.42914389221191407
CRWD,CALL,2026-06-26,690.0,11.18,2001,257,7.785992217898833,2237118.0,0.4480035668945312
CRWD,CALL,2026-07-10,720.0,20.48,1007,43,23.41860465116279,2062336.0,0.5350998638916016
CRWD,CALL,2026-07-02,750.0,3.7,4172,245,17.02857142857143,1543640.0000000002,0.4735160070800781
CRWD,CALL,2026-07-17,850.0,2.93,4726,386,12.243523316062177,1384718.0,0.51758294921875
CRWD,PUT,2026-07-02,665.0,6.2,1862,60,31.033333333333335,1154440.0,0.5224657128906249
