ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
MPC,CALL,2026-09-18,370.0,11.62,1638,353,4.640226628895184,1903355.9999999998,0.42517664672851563
PSX,CALL,2026-09-18,170.0,69.7,2061,18,114.5,14365170.000000002,0.7158231542968749
PSX,CALL,2026-09-18,165.0,74.54,1020,5,204.0,7603080.0,0.8051777294921875
PSX,CALL,2026-09-18,135.0,104.8,545,1,545.0,5711600.0,0.99804689453125
PSX,CALL,2026-09-18,140.0,99.85,568,0,,5671480.0,1.0302782861328126
PSX,CALL,2026-09-18,150.0,89.55,510,0,,4567050.0,0.8784191845703124
FCX,CALL,2026-08-28,71.0,6.9,2234,1075,2.078139534883721,1541460.0,0.5556685058593751
LYB,CALL,2026-09-18,55.0,13.4,3410,3,1136.6666666666667,4569400.0,0.5981485498046876
LYB,CALL,2026-09-18,50.0,18.3,2135,10,213.5,3907050.0,0.7334011035156249
LYB,CALL,2026-09-18,42.5,26.73,1100,0,,2940300.0,0.9101571484375
