ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
MU,PUT,2026-08-21,1200.0,231.23,9349,256,36.51953125,216176927.0,0.9960937890625
MU,CALL,2026-08-21,950.0,29.1,26260,6997,3.7530370158639417,76416600.0,0.548405394897461
MU,PUT,2026-08-21,1100.0,128.25,5437,871,6.2422502870264065,69729525.0,0.8061542822265625
MU,CALL,2026-08-21,960.0,23.0,19614,2192,8.947992700729927,45112200.0,0.5368088311767578
MU,CALL,2026-08-21,955.0,25.8,11920,1091,10.925756186984417,30753600.0,0.5473067730712893
MU,PUT,2026-08-21,1140.0,189.6,1420,49,28.979591836734695,26923200.0,1.6607682977294924
MU,CALL,2026-08-21,1000.0,5.55,47935,13559,3.535290213142562,26603925.0,0.5218553674316406
MU,CALL,2026-08-21,940.0,38.6,6428,1888,3.4046610169491527,24812080.0,0.5378464184570313
MU,PUT,2026-08-21,1150.0,188.58,1289,50,25.78,24307962.000000004,0.7656273437500001
MU,PUT,2026-08-21,1160.0,202.6,1143,27,42.333333333333336,23157180.0,0.70312796875
MRVL,CALL,2026-09-11,240.0,26.2,4622,161,28.70807453416149,12109640.0,0.8344743115234373
MRVL,CALL,2026-08-21,245.0,8.3,9721,4136,2.350338491295938,8068430.0,0.6528355029296876
MRVL,CALL,2026-08-28,255.0,13.97,3619,1532,2.362271540469974,5055743.0,1.003667091064453
MRVL,CALL,2026-09-04,280.0,9.1,5295,1876,2.8224946695095947,4818450.0,0.9223030230712892
MRVL,CALL,2026-08-28,265.0,10.29,3227,1429,2.258222533240028,3320582.9999999995,1.0096485064697265
MRVL,PUT,2026-08-28,265.0,23.82,525,17,30.88235294117647,1250550.0,0.9758303198242189
MRVL,CALL,2026-08-21,252.5,4.0,2799,543,5.154696132596685,1119600.0,0.629886513671875
LITE,CALL,2026-08-21,860.0,27.4,1558,469,3.321961620469083,4268920.0,0.5899088861083985
LITE,CALL,2026-08-21,850.0,32.92,1266,292,4.335616438356165,4167672.0,0.6976958941650393
LITE,CALL,2026-08-21,875.0,17.8,929,293,3.1706484641638224,1653620.0,0.6029092443847659
LITE,CALL,2026-08-28,1000.0,9.0,1682,772,2.178756476683938,1513800.0,0.7836935693359376
MPC,CALL,2026-08-21,220.0,144.1,1080,0,,15562800.0,3.080080424804687
MPC,CALL,2026-08-21,240.0,124.1,1081,19,56.89473684210526,13415210.0,2.636722158203125
MPC,CALL,2026-08-21,270.0,95.0,1100,31,35.483870967741936,10450000.0,2.0791063647460932
MPC,CALL,2026-08-21,280.0,84.72,1096,35,31.314285714285713,9285312.0,1.7294935400390625
MPC,CALL,2026-08-21,250.0,114.0,540,23,23.47826086956522,6156000.0,2.3535197412109365
VLO,CALL,2026-08-21,185.0,126.37,1485,0,,18765945.0,4.843753945312499
PSX,CALL,2026-08-21,165.0,74.5,2040,7,291.42857142857144,15198000.0,0.500005
PSX,CALL,2026-09-18,170.0,69.7,2061,18,114.5,14365170.000000002,0.631839619140625
PSX,CALL,2026-08-21,155.0,84.56,1131,0,,9563736.0,3.917968955078125
PSX,CALL,2026-09-18,165.0,74.54,1020,5,204.0,7603080.0,0.6479527392578125
PSX,CALL,2026-08-21,170.0,69.56,1022,11,92.9090909090909,7109032.000000001,3.02343994140625
PSX,CALL,2026-09-18,135.0,104.8,545,1,545.0,5711600.0,0.9697268652343749
PSX,CALL,2026-09-18,140.0,99.85,568,0,,5671480.0,0.9145516357421876
PSX,CALL,2026-09-18,150.0,89.55,510,0,,4567050.0,0.8100604931640624
PSX,CALL,2026-08-21,160.0,79.55,510,2,255.0,4057050.0,2.535159912109375
PSX,CALL,2026-08-21,205.0,34.56,580,3,193.33333333333334,2004480.0000000002,1.0039112304687499
