ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
SNDK,CALL,2026-06-26,1900.0,102.1,1462,319,4.58307210031348,14927019.999999998,1.3423494796752924
SNDK,CALL,2026-06-26,2200.0,14.0,2210,869,2.5431530494821635,3094000.0,1.2827184301757812
SNDK,PUT,2026-07-02,1420.0,17.22,1396,27,51.7037037037037,2403912.0,1.46875265625
SNDK,PUT,2026-07-02,1350.0,12.7,1084,184,5.891304347826087,1376680.0,1.5679953240966797
STX,CALL,2026-06-26,1000.0,30.7,876,56,15.642857142857142,2689320.0,0.9552006433105469
WDC,PUT,2026-07-17,570.0,38.65,774,235,3.293617021276596,2991510.0,1.011204895172119
WDC,CALL,2026-06-26,650.0,23.2,832,82,10.146341463414634,1930239.9999999998,1.0716599151611332
DELL,CALL,2026-07-02,410.0,36.17,512,148,3.4594594594594597,1851904.0,0.8228777478027343
INTC,CALL,2026-06-26,79.0,50.07,13801,6,2300.1666666666665,69101607.0,3.183595791015625
INTC,CALL,2026-06-26,77.0,53.15,12200,448,27.232142857142858,64843000.0,2.89844025390625
INTC,CALL,2026-06-26,78.0,50.47,12005,507,23.678500986193296,60589235.0,2.57031607421875
INTC,CALL,2026-06-26,87.0,42.62,11306,166,68.10843373493977,48186172.0,1.7578137109375
INTC,CALL,2026-06-26,88.0,41.62,11304,176,64.22727272727273,47047248.0,1.71875140625
INTC,CALL,2026-06-26,76.0,53.03,7302,712,10.25561797752809,38722506.0,2.8359404101562498
INTC,CALL,2026-06-26,80.0,49.07,6711,174,38.56896551724138,32930877.0,2.939455776367187
INTC,CALL,2026-06-26,85.0,45.2,2109,140,15.064285714285715,9532680.0,2.89844025390625
INTC,CALL,2026-06-26,86.0,44.32,2111,16,131.9375,9355952.0,3.263673715820312
INTC,PUT,2026-06-26,130.0,3.55,8915,4405,2.0238365493757096,3164825.0,0.9145516357421876
MU,CALL,2026-06-26,1100.0,37.0,14503,6698,2.165273215885339,53661100.0,1.5009180227661134
MU,CALL,2026-06-26,1055.0,54.79,9143,412,22.191747572815533,50094497.0,1.5262474859619137
MU,CALL,2026-06-26,1040.0,62.7,4586,482,9.514522821576763,28754220.0,1.5334495983886716
MU,CALL,2026-06-26,1030.0,67.5,3372,738,4.569105691056911,22761000.0,1.5343040863037107
MU,CALL,2026-06-26,1020.0,71.4,2886,384,7.515625,20606040.000000004,1.5363792712402344
MU,CALL,2026-06-26,1150.0,21.78,8627,2366,3.6462383770076077,18789606.0,1.4948755725097653
MU,PUT,2026-06-26,1030.0,47.8,3916,952,4.11344537815126,18718480.0,1.5460227777099609
MU,PUT,2026-06-26,1020.0,44.8,3997,820,4.874390243902439,17906559.999999996,1.5516990188598632
MU,CALL,2026-06-26,1045.0,59.4,2866,370,7.745945945945946,17024040.0,1.5293297459411619
MU,PUT,2026-06-26,1040.0,54.02,2868,1296,2.212962962962963,15492936.000000002,1.542421721496582
MRVL,CALL,2026-06-26,270.0,14.0,2670,508,5.255905511811024,3738000.0,1.0401659320068364
MRVL,CALL,2026-06-26,280.0,8.5,2466,1089,2.2644628099173554,2096100.0,1.0024463940429689
MRVL,CALL,2026-07-02,272.5,18.85,988,40,24.7,1862380.0000000002,1.0122119702148438
MRVL,CALL,2026-06-26,290.0,4.9,3262,1598,2.0413016270337923,1598380.0,0.9958496508789063
MRVL,CALL,2026-06-26,272.5,12.45,1035,215,4.813953488372093,1288575.0,1.0210009887695315
MRVL,CALL,2026-06-26,275.0,11.03,999,369,2.707317073170732,1101897.0,1.0179492462158202
AMD,CALL,2026-06-26,520.0,13.7,9908,1978,5.009100101112234,13573960.0,0.7382838671874999
AMD,CALL,2026-06-26,510.0,20.1,2123,537,3.9534450651769086,4267230.0,0.7460962890625
AMD,CALL,2026-06-26,525.0,11.4,3652,1289,2.8332040341349884,4163280.0000000005,0.7303493762207032
AMD,PUT,2026-06-26,490.0,4.31,9564,3003,3.184815184815185,4122083.9999999995,0.7902853002929688
AMD,PUT,2026-06-26,515.0,11.68,3306,1467,2.2535787321063396,3861408.0,0.7465845654296875
AMD,CALL,2026-06-26,522.5,12.71,2647,512,5.169921875,3364337.0000000005,0.7395045581054687
AMD,CALL,2026-06-26,517.5,15.06,1955,426,4.589201877934272,2944230.0,0.7479273254394532
AMD,PUT,2026-06-26,517.5,12.76,2172,474,4.582278481012659,2771472.0,0.7434107690429688
AMD,CALL,2026-06-26,512.5,18.1,1405,228,6.162280701754386,2543050.0000000005,0.7464624963378907
AMD,PUT,2026-06-26,512.5,10.6,2210,415,5.325301204819277,2342600.0,0.7500025
GLW,CALL,2026-07-02,230.0,3.5,5447,134,40.649253731343286,1906450.0,0.8686536572265625
GLW,CALL,2026-07-02,195.0,17.6,805,189,4.2592592592592595,1416800.0000000002,0.9069833520507812
GLW,PUT,2026-06-26,210.0,10.1,1389,92,15.097826086956522,1402890.0,0.8444839770507812
AMAT,CALL,2026-06-26,620.0,7.5,4119,471,8.745222929936306,3089250.0,0.8435074243164062
HPE,CALL,2026-07-02,20.0,28.85,2918,0,,8418430.0,3.82031294921875
LRCX,CALL,2026-06-26,385.0,7.25,7144,402,17.771144278606965,5179400.0,0.8555922644042968
