ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
DELL,CALL,2026-09-04,370.0,106.45,600,16,37.5,6387000.0,0.9438482177734374
DELL,CALL,2026-09-04,400.0,76.24,620,59,10.508474576271187,4726880.0,0.9245002667236328
DELL,PUT,2026-08-21,467.5,12.02,1298,111,11.693693693693694,1560196.0,0.6391637646484375
MU,CALL,2026-08-19,950.0,10.2,27487,233,117.96995708154506,28036739.999999996,0.5158739819335938
MU,PUT,2026-08-19,970.0,33.13,7637,448,17.046875,25301381.000000004,0.5004932763671875
MU,PUT,2026-08-19,940.0,13.42,14368,449,32.0,19281856.0,0.5141650146484374
MU,CALL,2026-08-19,940.0,14.63,12806,65,197.01538461538462,18735178.0,0.5173388110351562
MU,PUT,2026-08-19,950.0,19.02,9816,996,9.855421686746988,18670032.0,0.5291795129394532
MU,PUT,2026-08-19,935.0,10.4,14477,893,16.211646136618143,15056080.000000002,0.5180101910400392
MU,PUT,2026-08-19,960.0,26.23,5392,909,5.931793179317932,14143216.0,0.547001600341797
MU,CALL,2026-08-21,1000.0,6.1,21560,9821,2.1952957947255882,13151600.0,0.632938240966797
MU,PUT,2026-08-19,945.0,15.8,7477,179,41.770949720670394,11813660.0,0.5273484765625001
MU,CALL,2026-08-19,960.0,6.85,17089,158,108.15822784810126,11705965.0,0.5252733020019531
MPC,CALL,2026-08-21,290.0,74.0,5461,1185,4.608438818565401,40411400.0,1.1484417578125
MPC,CALL,2026-08-21,300.0,63.6,4874,1012,4.816205533596838,30998640.000000004,1.0986373193359378
MPC,CALL,2026-08-21,310.0,57.16,4509,914,4.933260393873085,25773443.999999996,0.94726615234375
MPC,CALL,2026-08-21,260.0,104.2,2292,527,4.349146110056926,23882640.0,1.6015644921874999
MPC,CALL,2026-08-21,320.0,43.6,4355,1032,4.219961240310077,18987800.0,0.7402369726562499
MPC,CALL,2026-08-21,330.0,37.0,4349,1322,3.289712556732224,16091300.0,0.6372106591796876
MPC,CALL,2026-08-21,220.0,144.1,1080,245,4.408163265306122,15562800.0,2.452152307128906
MPC,CALL,2026-08-21,240.0,124.1,1081,162,6.672839506172839,13415210.0,1.92578162109375
MPC,CALL,2026-08-21,270.0,95.0,1100,154,7.142857142857143,10450000.0,1.474612001953125
MPC,CALL,2026-08-21,280.0,84.72,1096,258,4.248062015503876,9285312.0,1.4091826416015625
VLO,CALL,2026-08-21,185.0,126.37,1485,0,,18765945.0,2.6406283984375003
TER,CALL,2026-08-21,400.0,13.5,1191,413,2.883777239709443,1607850.0,0.719729365234375
PSX,CALL,2026-08-21,165.0,74.5,2040,7,291.42857142857144,15198000.0,2.3584025415039056
PSX,CALL,2026-09-18,170.0,69.7,2061,18,114.5,14365170.000000002,0.5712933496093751
PSX,CALL,2026-08-21,175.0,64.54,2050,3,683.3333333333334,13230700.0,1.9814454052734376
PSX,CALL,2026-08-21,155.0,84.56,1131,0,,9563736.0,2.5751988745117185
PSX,CALL,2026-08-21,195.0,45.23,2049,6,341.5,9267626.999999998,1.4990259423828123
PSX,CALL,2026-09-18,165.0,74.54,1020,5,204.0,7603080.0,0.6132851171875001
PSX,CALL,2026-08-21,170.0,69.56,1022,11,92.9090909090909,7109032.000000001,2.2080122924804684
PSX,CALL,2026-09-18,135.0,104.8,545,1,545.0,5711600.0,0.64062859375
PSX,CALL,2026-09-18,140.0,99.85,568,0,,5671480.0,0.72070591796875
PSX,CALL,2026-08-21,150.0,89.68,510,4,127.5,4573680.0,2.8818387329101567
KEYS,CALL,2026-08-21,340.0,16.33,1137,188,6.047872340425532,1856721.0,1.1184126110839845
KEYS,CALL,2026-08-21,360.0,8.1,1566,348,4.5,1268459.9999999998,1.0660447088623048
PWR,PUT,2026-10-16,580.0,8.3,1431,65,22.015384615384615,1187730.0,0.4415033877563477
