ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
SNDK,CALL,2026-06-18,1600.0,401.15,1104,430,2.567441860465116,44286960.0,1.2669714385986326
SNDK,PUT,2026-07-17,1750.0,147.65,646,180,3.588888888888889,9538190.0,1.0788238808059694
SNDK,PUT,2026-07-17,1740.0,141.95,615,19,32.36842105263158,8729925.0,1.080075095252991
SNDK,CALL,2026-06-18,2100.0,56.61,1439,441,3.2630385487528346,8146178.999999999,1.0135089608001708
SNDK,PUT,2026-06-18,2000.0,111.5,703,81,8.679012345679013,7838450.0,1.0150348320770264
SNDK,PUT,2026-06-18,1800.0,38.6,1902,292,6.513698630136986,7341720.0,1.0869491453552247
SNDK,PUT,2026-06-18,1900.0,68.4,996,114,8.736842105263158,6812640.000000001,1.039769205474854
SNDK,CALL,2026-06-18,1970.0,110.11,513,63,8.142857142857142,5648643.0,1.0373735875701904
SNDK,CALL,2026-06-18,2050.0,74.55,610,302,2.019867549668874,4547550.0,1.0127002490234376
SNDK,CALL,2026-06-18,2250.0,23.5,890,391,2.2762148337595907,2091500.0,1.018712181854248
STX,PUT,2026-07-17,800.0,36.0,1479,124,11.92741935483871,5324400.0,0.8328721546936033
INTC,CALL,2026-06-26,140.0,3.85,20314,1625,12.500923076923076,7820890.000000001,0.9409185595703125
INTC,CALL,2026-06-26,130.0,6.65,9186,3408,2.6954225352112675,6108690.0,0.9145516357421876
INTC,CALL,2026-06-18,121.0,7.75,3029,969,3.1259029927760578,2347475.0,0.9309088940429688
INTC,CALL,2026-06-18,124.0,6.23,3040,739,4.113667117726657,1893920.0,0.9382330395507812
INTC,CALL,2026-06-18,123.0,6.75,2642,648,4.077160493827161,1783350.0,0.937500625
INTC,PUT,2026-06-26,125.0,9.05,1776,351,5.05982905982906,1607280.0,0.8918467846679687
INTC,PUT,2026-06-18,115.0,2.16,6183,2390,2.587029288702929,1335528.0,0.9379889013671875
INTC,PUT,2026-06-18,126.0,6.71,1943,3,647.6666666666666,1303753.0,0.9223640576171875
INTC,CALL,2026-06-18,127.0,4.81,2695,922,2.922993492407809,1296295.0,0.9389654541015625
INTC,CALL,2026-06-18,128.0,4.58,2724,504,5.404761904761905,1247592.0,0.9350592431640624
DELL,CALL,2026-07-17,420.0,26.53,917,424,2.1627358490566038,2432801.0,0.7468897381591797
DELL,PUT,2026-06-18,402.5,16.45,623,53,11.754716981132075,1024835.0,0.6955596850585939
MU,CALL,2026-06-26,1050.0,64.27,18949,2445,7.750102249488752,121785223.0,1.1942789309692383
MU,PUT,2026-06-26,1040.0,118.64,2032,62,32.774193548387096,24107648.0,1.167118422241211
MU,PUT,2026-07-17,700.0,24.75,8390,2947,2.8469630132337973,20765250.0,1.1138960321044922
MU,CALL,2026-06-18,990.0,48.0,3275,1119,2.9267202859696155,15720000.0,1.0193225303649902
MU,PUT,2026-06-18,950.0,36.0,3886,1781,2.1819202695115103,13989600.0,1.0218249592590332
MU,CALL,2026-06-26,980.0,92.0,1430,446,3.2062780269058297,13156000.0,1.1871073359680175
MU,CALL,2026-06-18,970.0,57.0,1813,879,2.062571103526735,10334100.0,1.026768782196045
MU,CALL,2026-06-18,995.0,45.08,2013,250,8.052,9074604.0,1.0168811363220216
MU,CALL,2026-06-18,975.0,54.91,1606,277,5.79783393501805,8818546.0,1.0204516751098636
MU,CALL,2026-06-18,1010.0,38.45,2252,953,2.3630640083945433,8658940.0,1.0184985598754883
LITE,CALL,2026-06-18,940.0,36.0,690,127,5.433070866141732,2484000.0,0.9409185595703125
AMD,CALL,2026-06-18,517.5,17.67,5121,449,11.405345211581292,9048807.0,0.7583031982421876
AMD,PUT,2026-06-18,510.0,18.39,3993,1276,3.1293103448275863,7343127.0,0.7428614581298827
AMD,CALL,2026-06-18,515.0,18.2,3708,913,4.061336254107339,6748559.999999999,0.7570214727783204
AMD,CALL,2026-06-18,532.5,11.7,4049,470,8.614893617021277,4737330.0,0.7584252673339844
AMD,PUT,2026-06-18,505.0,16.1,1903,415,4.585542168674698,3063830.0000000005,0.7468287036132812
AMD,PUT,2026-06-18,515.0,20.96,1438,202,7.118811881188119,3014048.0,0.7482935327148439
AMD,CALL,2026-06-18,535.0,10.8,2666,739,3.6075778078484437,2879280.0000000005,0.7598900964355471
AMD,PUT,2026-06-18,480.0,7.45,3439,1050,3.275238095238095,2562055.0,0.7684959674072267
AMD,PUT,2026-06-18,512.5,20.1,828,271,3.055350553505535,1664280.0000000002,0.74414318359375
AMD,PUT,2026-06-18,517.5,21.98,733,153,4.790849673202614,1611134.0,0.7361476580810546
LRCX,PUT,2026-07-17,350.0,24.9,2610,1297,2.0123361603700847,6498899.999999999,0.741366111755371
LRCX,PUT,2026-07-17,370.0,34.05,1023,97,10.54639175257732,3483314.9999999995,0.7290066162109375
LRCX,CALL,2026-07-17,460.0,8.6,3343,263,12.711026615969581,2874980.0,0.7672752764892579
LRCX,PUT,2026-06-18,342.5,5.2,2510,159,15.786163522012579,1305200.0,0.7740501110839844
LRCX,PUT,2026-06-18,357.5,9.41,1272,129,9.86046511627907,1196952.0,0.7485376708984376
LRCX,CALL,2026-06-18,385.0,7.55,1461,137,10.664233576642335,1103055.0,0.748171463623047
COHR,CALL,2026-06-18,407.5,9.6,1092,66,16.545454545454547,1048319.9999999999,0.944214425048828
TXN,CALL,2026-06-18,135.0,146.45,995,1,995.0,14571775.0,1.0000000000000003e-05
TXN,CALL,2026-06-18,130.0,151.6,870,0,,13189200.0,1.0000000000000003e-05
TXN,CALL,2026-06-18,160.0,121.2,810,15,54.0,9817200.0,1.0000000000000003e-05
MPC,CALL,2026-06-18,140.0,122.16,780,0,,9528480.0,2.544925512695312
MPC,CALL,2026-06-18,165.0,97.33,780,3,260.0,7591739.999999999,1.953125234375
VLO,CALL,2026-06-18,145.0,109.7,961,0,,10542170.0,2.6718783203125005
VLO,CALL,2026-06-18,150.0,104.5,960,0,,10032000.0,2.5361364721679687
VLO,CALL,2026-06-18,155.0,99.2,960,0,,9523200.0,2.2773480566406246
VLO,CALL,2026-06-18,170.0,84.3,960,6,160.0,8092800.0,1.834961762695312
VLO,CALL,2026-06-18,130.0,123.73,525,1,525.0,6495825.0,2.949221376953125
ADI,CALL,2026-06-18,280.0,127.0,1480,3,493.3333333333333,18796000.0,1.453127734375
ADI,CALL,2026-06-18,220.0,186.7,740,0,,13815800.0,2.220707573242187
ADI,CALL,2026-06-18,250.0,157.1,740,1,740.0,11625400.0,1.8154306103515623
ADI,PUT,2026-06-18,405.0,5.12,2700,112,24.107142857142858,1382400.0,0.5192919165039063
ADI,CALL,2026-06-18,422.5,7.0,1489,140,10.635714285714286,1042300.0,0.5117236328125
