ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
SNDK,PUT,2026-06-12,1600.0,44.4,2350,1129,2.0814880425155002,10434000.0,0.062509375
SNDK,CALL,2026-06-12,1700.0,38.5,2692,1089,2.4719926538108354,10364200.0,0.12500875
SNDK,PUT,2026-06-12,1660.0,71.33,552,209,2.6411483253588517,3937415.9999999995,1.0000000000000003e-05
MU,CALL,2026-06-12,850.0,61.1,5198,1222,4.253682487725041,31759780.0,1.0000000000000003e-05
MU,CALL,2026-06-12,900.0,29.45,9582,3534,2.711375212224109,28218989.999999996,0.0312596875
MU,CALL,2026-06-12,950.0,12.25,13385,5330,2.5112570356472794,16396625.0,0.12500875
MU,CALL,2026-06-12,910.0,25.0,6225,1275,4.882352941176471,15562500.0,0.062509375
MU,PUT,2026-06-12,905.0,38.25,3592,987,3.6393110435663627,13739400.0,1.0000000000000003e-05
MU,CALL,2026-06-12,905.0,28.05,4842,1340,3.6134328358208956,13581810.0,0.062509375
MU,CALL,2026-06-12,870.0,48.74,2347,608,3.8601973684210527,11439278.0,1.0000000000000003e-05
MU,PUT,2026-06-12,915.0,45.35,2498,896,2.7879464285714284,11328430.0,1.0000000000000003e-05
MU,PUT,2026-06-12,895.0,33.1,3296,956,3.4476987447698746,10909760.0,1.0000000000000003e-05
MU,CALL,2026-06-12,920.0,21.4,4681,1785,2.622408963585434,10017340.0,0.12500875
HPE,CALL,2026-07-10,20.0,25.55,1273,310,4.106451612903226,3252515.0,1.0000000000000003e-05
MPC,CALL,2026-06-18,140.0,122.16,780,0,,9528480.0,1.0000000000000003e-05
MPC,CALL,2026-06-18,165.0,97.33,780,3,260.0,7591739.999999999,1.0000000000000003e-05
VLO,CALL,2026-06-18,145.0,109.7,961,0,,10542170.0,1.0000000000000003e-05
VLO,CALL,2026-06-18,150.0,104.5,960,0,,10032000.0,1.0000000000000003e-05
VLO,CALL,2026-06-18,155.0,99.2,960,0,,9523200.0,1.0000000000000003e-05
VLO,CALL,2026-06-18,170.0,84.3,960,6,160.0,8092800.0,1.0000000000000003e-05
VLO,CALL,2026-06-18,130.0,123.73,525,1,525.0,6495825.0,1.0000000000000003e-05
