ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
SNDK,CALL,2026-07-02,2000.0,120.0,2674,338,7.911242603550296,32088000.0,1.1098066970825196
SNDK,CALL,2026-07-02,1950.0,153.0,1432,157,9.121019108280255,21909600.0,1.1084028955078127
SNDK,CALL,2026-07-02,2100.0,71.0,2418,592,4.08445945945946,17167800.0,1.08203583984375
SNDK,CALL,2026-07-10,2000.0,182.32,792,216,3.6666666666666665,14439744.0,1.0649308228302004
SNDK,CALL,2026-07-02,1900.0,185.0,717,263,2.726235741444867,13264500.0,1.1664165214538573
SNDK,CALL,2026-07-02,2300.0,20.0,5675,694,8.177233429394812,11350000.0,1.0925643516540526
SNDK,CALL,2026-07-10,2100.0,134.03,668,195,3.4256410256410255,8953204.0,1.0563249088287356
SNDK,CALL,2026-07-02,2150.0,53.65,1517,619,2.4507269789983845,8138705.0,1.08340912399292
SNDK,CALL,2026-07-02,2050.0,93.48,832,211,3.943127962085308,7777536.0,1.0949752282714846
SNDK,CALL,2026-07-02,2200.0,40.0,1914,720,2.658333333333333,7656000.0,1.0864303491210938
MU,CALL,2026-07-02,1100.0,71.49,19008,2089,9.099090473910962,135888192.0,0.9708865216064453
MU,CALL,2026-07-02,1050.0,108.05,6604,978,6.752556237218814,71356220.0,0.9957886163330079
MU,CALL,2026-07-02,1150.0,42.5,15712,2346,6.697357203751066,66776000.0,0.9464727032470703
MU,CALL,2026-07-02,1200.0,24.0,25910,5748,4.507654836464857,62184000.0,0.9341132077026367
MU,CALL,2026-07-02,1130.0,53.2,8522,769,11.081924577373211,45337040.0,0.9565128860473632
MU,CALL,2026-07-02,1070.0,87.76,5103,238,21.441176470588236,44783928.0,0.9747927325439454
MU,CALL,2026-07-02,1120.0,60.0,6171,525,11.754285714285714,37026000.0,0.9568485760498047
MU,CALL,2026-07-02,1080.0,84.7,4089,434,9.421658986175116,34633830.0,0.988830678100586
MU,CALL,2026-07-02,1090.0,78.56,4162,356,11.691011235955056,32696672.000000004,0.9824525680541992
MU,CALL,2026-07-02,1125.0,56.71,5721,267,21.426966292134832,32443791.000000004,0.9589542678833006
