ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
MU,CALL,2026-07-24,950.0,49.7,8651,2603,3.323472915866308,42995470.0,0.9512944323730468
MU,CALL,2026-07-22,950.0,34.25,11487,1886,6.09066808059385,39342975.0,0.7754539056396486
MU,CALL,2026-07-22,1000.0,9.6,27562,2229,12.365186182144459,26459520.0,0.7354762780761719
MU,PUT,2026-07-24,940.0,24.75,9969,629,15.848966613672497,24673275.0,0.9703372106933592
MU,CALL,2026-07-22,930.0,51.4,4668,568,8.21830985915493,23993520.0,0.802614278564453
MU,CALL,2026-07-22,940.0,41.04,5696,550,10.356363636363636,23376384.0,0.7940084075927734
MU,CALL,2026-07-22,970.0,22.1,9447,298,31.701342281879196,20877870.0,0.755983885498047
MU,CALL,2026-07-31,1100.0,28.9,6533,1725,3.787246376811594,18880370.0,1.0703171484375003
MU,CALL,2026-07-31,955.0,84.88,2184,226,9.663716814159292,18537792.0,1.1218915975952148
MU,PUT,2026-07-24,950.0,28.8,6164,2997,2.056723390056723,17752320.0,0.9639591006469727
AMD,CALL,2026-07-22,530.0,18.73,8122,465,17.466666666666665,15212506.0,0.6264685791015626
AMD,CALL,2026-07-27,545.0,22.79,6491,15,432.73333333333335,14792988.999999998,0.7598900964355471
AMD,CALL,2026-07-24,540.0,22.99,5554,1745,3.1828080229226363,12768646.0,0.9049081774902343
AMD,CALL,2026-07-22,540.0,12.25,10191,763,13.356487549148099,12483975.0,0.6074258007812501
AMD,CALL,2026-07-24,530.0,28.2,3611,1333,2.708927231807952,10183020.0,0.9225471612548828
AMD,CALL,2026-07-22,535.0,15.48,6386,252,25.341269841269842,9885528.0,0.6147499462890625
AMD,CALL,2026-07-22,550.0,7.3,10780,1102,9.782214156079855,7869400.0,0.5911906115722658
AMD,CALL,2026-07-31,530.0,39.42,1428,580,2.462068965517241,5629176.0,0.8641676181030272
AMD,CALL,2026-07-22,547.5,8.3,6539,253,25.845849802371543,5427370.0,0.5896037133789063
AMD,CALL,2026-07-22,532.5,17.0,3160,130,24.307692307692307,5372000.0,0.627078924560547
MPC,CALL,2026-08-21,330.0,11.85,1262,327,3.859327217125382,1495470.0,0.45490047058105465
PANW,CALL,2026-07-31,350.0,10.7,1563,143,10.93006993006993,1672409.9999999998,0.6293372027587891
PANW,CALL,2026-07-31,360.0,8.0,1645,372,4.422043010752688,1316000.0,0.637576866455078
DDOG,CALL,2026-07-31,235.0,24.95,502,60,8.366666666666667,1252490.0,0.7766135620117188
DDOG,CALL,2026-07-31,240.0,22.15,501,4,125.25,1109715.0,0.7570825073242189
