ticker,type,expiry,strike,lastPrice,volume,openInterest,vol_oi,notional,iv
SNDK,CALL,2026-07-17,2100.0,297.7,852,360,2.3666666666666667,25364040.0,1.054226835823059
SNDK,PUT,2026-07-17,2030.0,182.37,832,95,8.757894736842106,15173184.0,1.0230151388549804
SNDK,CALL,2026-06-26,2200.0,128.8,1087,428,2.539719626168224,14000560.0,1.0384722148895267
SNDK,CALL,2026-06-26,2150.0,148.51,810,167,4.850299401197605,12029310.0,1.0443773367309572
SNDK,CALL,2026-06-26,2170.0,144.07,576,135,4.266666666666667,8298431.999999999,1.0449266503906252
SNDK,PUT,2026-06-26,2100.0,93.09,854,307,2.781758957654723,7949886.0,1.0375872095489505
SNDK,PUT,2026-06-26,2200.0,141.0,511,47,10.872340425531915,7205100.0,1.0245562688446048
SNDK,PUT,2026-06-26,2000.0,58.5,647,227,2.850220264317181,3784950.0,1.0572709490203858
SNDK,CALL,2026-06-26,2500.0,37.19,568,258,2.201550387596899,2112392.0,1.019841326599121
SNDK,PUT,2026-06-26,1200.0,3.9,3980,415,9.590361445783133,1552200.0,1.9560549072265625
WDC,CALL,2026-06-26,800.0,23.0,849,301,2.820598006644518,1952700.0,0.9957886163330079
WDC,CALL,2026-07-02,980.0,7.5,1644,97,16.948453608247423,1233000.0,1.0141650854492186
STX,CALL,2026-06-26,1080.0,51.6,520,63,8.253968253968255,2683200.0,0.9030771411132812
MU,PUT,2026-07-02,1000.0,42.3,18104,825,21.944242424242425,76579920.0,1.1426129295349121
MU,PUT,2026-06-26,1100.0,64.28,10494,444,23.635135135135137,67455432.0,1.2151223326110838
MU,PUT,2026-06-26,1000.0,29.2,21457,4521,4.746073877460739,62654440.0,1.2403602435302732
MU,CALL,2026-06-26,1150.0,74.49,3960,1759,2.2512791358726547,29498039.999999996,1.2137490484619138
MU,CALL,2026-07-17,1120.0,139.25,1578,427,3.6955503512880563,21973650.0,1.0370378958892825
MU,PUT,2026-07-17,880.0,32.75,5808,2069,2.807153214113098,19021200.0,1.0750473493957522
MU,CALL,2026-07-02,1200.0,74.0,2350,932,2.5214592274678114,17390000.0,1.137455484619141
MU,CALL,2026-06-26,1110.0,93.03,1703,531,3.207156308851224,15843009.0,1.2082253944396972
MU,CALL,2026-06-26,1130.0,83.07,1897,538,3.526022304832714,15758378.999999998,1.2084695338439941
MU,CALL,2026-06-26,1095.0,102.62,1504,345,4.3594202898550725,15434048.000000002,1.2092935043334956
MRVL,CALL,2026-07-02,350.0,12.45,7158,2700,2.651111111111111,8911710.0,1.0932052175903322
MRVL,CALL,2026-06-26,330.0,12.6,6877,1327,5.182366239638282,8665020.0,1.1186567504882814
MRVL,PUT,2026-06-26,325.0,27.98,3090,30,103.0,8645820.0,1.0344286560058595
MRVL,CALL,2026-07-02,260.0,73.71,1037,100,10.37,7643726.999999999,1.158207333984375
MRVL,CALL,2026-06-26,325.0,14.15,5202,702,7.410256410256411,7360830.0,1.098149040527344
MRVL,PUT,2026-06-26,302.5,15.0,4134,71,58.225352112676056,6201000.0,1.059941223754883
MRVL,PUT,2026-06-26,320.0,24.67,2482,126,19.6984126984127,6123094.0,1.0402880017089848
MRVL,PUT,2026-06-26,300.0,14.25,3683,1609,2.2889993784959604,5248275.0,1.0448045806884767
MRVL,CALL,2026-06-26,340.0,9.64,3496,632,5.531645569620253,3370144.0,1.11560500793457
MRVL,CALL,2026-07-02,400.0,4.8,6627,1053,6.293447293447294,3180960.0,1.1394085998535157
INTC,CALL,2026-06-26,100.0,32.5,5278,717,7.361227336122734,17153500.0,1.3818390283203121
INTC,CALL,2026-06-26,135.0,6.35,17251,5705,3.0238387379491676,10954385.0,0.852540537109375
INTC,PUT,2026-06-26,130.0,4.76,7490,1191,6.288832913518052,3565240.0,0.8544936425781251
INTC,CALL,2026-07-17,170.0,3.6,9641,3175,3.036535433070866,3470760.0,0.9031992102050781
INTC,CALL,2026-07-02,95.0,39.56,806,142,5.676056338028169,3188536.0,1.0537156689453124
INTC,CALL,2026-06-26,131.0,8.4,3655,292,12.517123287671232,3070200.0,0.8566908862304687
INTC,CALL,2026-07-17,155.0,6.2,4945,2421,2.042544403139199,3065900.0,0.8813488427734374
INTC,CALL,2026-06-26,134.0,6.65,4568,506,9.027667984189723,3037720.0,0.8508315698242188
INTC,CALL,2026-06-26,128.0,10.2,2659,746,3.564343163538874,2712180.0,0.8400894897460938
INTC,PUT,2026-07-10,150.0,21.33,1218,5,243.6,2597994.0,0.8537612280273439
AMD,CALL,2026-06-26,535.0,23.29,6876,362,18.994475138121548,16014204.0,0.6956207196044923
AMD,CALL,2026-06-26,550.0,16.65,7455,1796,4.150890868596882,12412574.999999998,0.6883576086425782
AMD,CALL,2026-06-26,540.0,21.05,3425,1459,2.347498286497601,7209625.0,0.6914703704833984
